Start Task       : 2021-08-03-1048
Send TMS         : {"truckload_index":"a5836405-f867-41d4-aeec-cffb0be455f6","truckload_no":"TM21070107","tm_index":"3e6d67bc-0683-40fa-ae8f-090750f12215","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"11","return_tote_max_m":"4","docreturn_max":"14","return_tote_qty_xl":11,"return_tote_qty_m":4,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":14}
Send TMS Result  : False
Truckload No.    : TM21070081
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 10
Tote M Max.      : 3
Doc Max.         : 6
G Tote L.        : 10
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 6
Send TMS         : {"truckload_index":"7077bb31-8727-4252-a5df-d0380f262e87","truckload_no":"TM21070081","tm_index":"74c93470-df37-4c0d-838e-8f9a92c88806","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"10","return_tote_max_m":"3","docreturn_max":"6","return_tote_qty_xl":10,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":6}
Send TMS Result  : False
Truckload No.    : TM21070005
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 16
Tote M Max.      : 5
Doc Max.         : 13
G Tote L.        : 16
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 13
Send TMS         : {"truckload_index":"b1c4e902-371d-4919-8f55-d311b2ee723f","truckload_no":"TM21070005","tm_index":"ab92fb65-16c0-4978-a469-8311487589e7","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"16","return_tote_max_m":"5","docreturn_max":"13","return_tote_qty_xl":16,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":13}
Send TMS Result  : False
Truckload No.    : TM21070102
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 16
Tote M Max.      : 3
Doc Max.         : 13
G Tote L.        : 16
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 13
Send TMS         : {"truckload_index":"84ef5195-52cd-4ddc-9106-d351bc3fab65","truckload_no":"TM21070102","tm_index":"05ecb1d7-d41d-4fef-b95d-7a371eb5f9b6","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"16","return_tote_max_m":"3","docreturn_max":"13","return_tote_qty_xl":16,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":13}
Send TMS Result  : False
Truckload No.    : TM21070017
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 17
Tote M Max.      : 5
Doc Max.         : 15
G Tote L.        : 17
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 15
Send TMS         : {"truckload_index":"9f95cbb8-fff2-41d0-ab14-d4ca0a1bef20","truckload_no":"TM21070017","tm_index":"ecbdbd77-b0ed-4b8d-8e2d-5f278df38ff7","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"17","return_tote_max_m":"5","docreturn_max":"15","return_tote_qty_xl":17,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":15}
Send TMS Result  : False
Truckload No.    : TM21070018
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 17
Tote M Max.      : 6
Doc Max.         : 18
G Tote L.        : 17
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 18
Send TMS         : {"truckload_index":"e39d6d31-a97f-41ff-887e-d53d80cfaaf7","truckload_no":"TM21070018","tm_index":"613e1d00-f917-49de-9b7b-94118cb0aa0a","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"17","return_tote_max_m":"6","docreturn_max":"18","return_tote_qty_xl":17,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":18}
Send TMS Result  : False
Truckload No.    : TM21070027
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 5
Tote M Max.      : 1
Doc Max.         : 2
G Tote L.        : 5
G Tote M.        : 1
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 2
Send TMS         : {"truckload_index":"fce7d4b1-fad4-440f-b946-d53df95df7c6","truckload_no":"TM21070027","tm_index":"1cf8ffaa-c04f-4767-bb8e-34e60ac1cd4a","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"5","return_tote_max_m":"1","docreturn_max":"2","return_tote_qty_xl":5,"return_tote_qty_m":1,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":2}
Send TMS Result  : False
Truckload No.    : TM21070095
Return Date.     : 7/10/2021 12:00:00 AM
Tote L Max.      : 10
Tote M Max.      : 6
Doc Max.         : 12
G Tote L.        : 10
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 12
Send TMS         : {"truckload_index":"b05a62f6-d426-41b9-8d99-d67e88be38cd","truckload_no":"TM21070095","tm_index":"9a1dc2cd-cfed-4c61-a23b-2056a878813b","truckload_return_date":"2021-07-10T00:00:00","return_tote_max_xl":"10","return_tote_max_m":"6","docreturn_max":"12","return_tote_qty_xl":10,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":12}
Send TMS Result  : False
Truckload No.    : TM21070093
Return Date.     : 7/10/2021 12:00:00 AM
Tote L Max.      : 15
Tote M Max.      : 3
Doc Max.         : 9
G Tote L.        : 15
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 9
Send TMS         : {"truckload_index":"f1202538-7802-460a-889b-e11316a3044c","truckload_no":"TM21070093","tm_index":"c0c30279-f1ad-4ae4-9fee-404172c15d79","truckload_return_date":"2021-07-10T00:00:00","return_tote_max_xl":"15","return_tote_max_m":"3","docreturn_max":"9","return_tote_qty_xl":15,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":9}
Send TMS Result  : False
Truckload No.    : TM21070087
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 8
Tote M Max.      : 0
Doc Max.         : 4
G Tote L.        : 8
G Tote M.        : 0
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 4
Send TMS         : {"truckload_index":"957ee45b-5b2e-4f79-81c6-e225544ecb53","truckload_no":"TM21070087","tm_index":"ec75d115-1750-4e1d-ba0b-37347d205603","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"8","return_tote_max_m":"0","docreturn_max":"4","return_tote_qty_xl":8,"return_tote_qty_m":0,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":4}
Send TMS Result  : False
Truckload No.    : TM21070020
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 21
Tote M Max.      : 4
Doc Max.         : 13
G Tote L.        : 21
G Tote M.        : 4
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 13
Send TMS         : {"truckload_index":"2d92bfab-194a-4419-84f6-ecca055509a3","truckload_no":"TM21070020","tm_index":"49df1444-6c91-4ba0-9e54-b8587dcc8a28","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"21","return_tote_max_m":"4","docreturn_max":"13","return_tote_qty_xl":21,"return_tote_qty_m":4,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":13}
Send TMS Result  : False
Truckload No.    : TM21070029
Return Date.     : 7/6/2021 12:00:00 AM
Tote L Max.      : 28
Tote M Max.      : 7
Doc Max.         : 20
G Tote L.        : 28
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 20
Send TMS         : {"truckload_index":"a62a54ef-dc34-45aa-b3b9-ed999927e578","truckload_no":"TM21070029","tm_index":"30c255e4-23be-4130-8ccf-5d256c5fab6c","truckload_return_date":"2021-07-06T00:00:00","return_tote_max_xl":"28","return_tote_max_m":"7","docreturn_max":"20","return_tote_qty_xl":28,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":20}
Send TMS Result  : False
Truckload No.    : TM21070077
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 18
Tote M Max.      : 4
Doc Max.         : 15
G Tote L.        : 18
G Tote M.        : 4
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 15
Send TMS         : {"truckload_index":"9dafce86-2d99-46bb-b33e-f134b73121b8","truckload_no":"TM21070077","tm_index":"e5107121-4328-4d5c-9c87-f38487081065","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"18","return_tote_max_m":"4","docreturn_max":"15","return_tote_qty_xl":18,"return_tote_qty_m":4,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":15}
Send TMS Result  : False
Truckload No.    : TM21070028
Return Date.     : 7/6/2021 12:00:00 AM
Tote L Max.      : 22
Tote M Max.      : 11
Doc Max.         : 23
G Tote L.        : 22
G Tote M.        : 11
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 23
Send TMS         : {"truckload_index":"a0656a70-aaa7-4488-a007-f3b612e74fe7","truckload_no":"TM21070028","tm_index":"6103607c-e926-4872-976f-bf35b844a161","truckload_return_date":"2021-07-06T00:00:00","return_tote_max_xl":"22","return_tote_max_m":"11","docreturn_max":"23","return_tote_qty_xl":22,"return_tote_qty_m":11,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":23}
Send TMS Result  : False
Truckload No.    : TM21070011
Return Date.     : 7/5/2021 12:00:00 AM
Tote L Max.      : 7
Tote M Max.      : 5
Doc Max.         : 9
G Tote L.        : 7
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 9
Send TMS         : {"truckload_index":"aa9c2123-3ec3-432d-87c8-f51c72df2d4b","truckload_no":"TM21070011","tm_index":"4830de39-b245-4b3b-8f80-9abb9044ca1d","truckload_return_date":"2021-07-05T00:00:00","return_tote_max_xl":"7","return_tote_max_m":"5","docreturn_max":"9","return_tote_qty_xl":7,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":9}
Send TMS Result  : False
Truckload No.    : TM21070119
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 21
Tote M Max.      : 6
Doc Max.         : 15
G Tote L.        : 21
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 15
Send TMS         : {"truckload_index":"c2532198-857e-4e4f-bff7-f61c04ac4396","truckload_no":"TM21070119","tm_index":"b536976e-8cf0-459d-b176-056ed07ce77e","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"21","return_tote_max_m":"6","docreturn_max":"15","return_tote_qty_xl":21,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":15}
Send TMS Result  : False
Truckload No.    : TM21070096
Return Date.     : 7/10/2021 12:00:00 AM
Tote L Max.      : 13
Tote M Max.      : 11
Doc Max.         : 20
G Tote L.        : 13
G Tote M.        : 11
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 20
Send TMS         : {"truckload_index":"3b895701-865c-47e3-a145-f6c79d2dafe4","truckload_no":"TM21070096","tm_index":"2103eb35-b135-4cc1-a082-ef5ce52dfca8","truckload_return_date":"2021-07-10T00:00:00","return_tote_max_xl":"13","return_tote_max_m":"11","docreturn_max":"20","return_tote_qty_xl":13,"return_tote_qty_m":11,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":20}
Send TMS Result  : False
Truckload No.    : TM21070046
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 13
Tote M Max.      : 12
Doc Max.         : 19
G Tote L.        : 13
G Tote M.        : 12
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 19
Send TMS         : {"truckload_index":"7bbd2fb4-4cf0-40d2-beab-fc7cab47b78f","truckload_no":"TM21070046","tm_index":"c25d31b1-9e39-404c-a41e-0434f30b76b2","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"13","return_tote_max_m":"12","docreturn_max":"19","return_tote_qty_xl":13,"return_tote_qty_m":12,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":19}
Send TMS Result  : False
